,id,job_id,company_display_name,location,title,latitude,longitude,redirect_url,description,category_tag,contract_time,created,company_name_clean,token_count_description
0,1,5532749858,johnson & johnson,belgië,"sr director, head of data science & digital health – therapeutics development & supply (tds)",,,https://www.adzuna.be/details/5532749858?utm_medium=api&utm_source=64e51cf1,"at johnson & johnson, we believe health is everything. our strength in healthcare innovation empowers us to build a world where complex diseases are prevented, treated, and cured, where treatments are smarter and less invasive, and solutions are personal. through our expertise in innovative medicine and medtech, we are uniquely positioned to innovate across the full spectrum of healthcare solutions today to deliver the breakthroughs of tomorrow, and profoundly impact health for humanity. learn …",unknown,full_time,2025-12-07t21:14:34z,johnson_and_johnson,88
1,2,5532749786,bjak,belgië,founding ai engineer,,,https://www.adzuna.be/details/5532749786?utm_medium=api&utm_source=64e51cf1,"transform language models into real-world, high-impact product experiences. a1 is a self-funded ai group, operating in full stealth. we’re building a new global consumer ai application focused on an important but underexplored use case. you will shape the core technical direction of a1 - model selection, training strategy, infrastructure, and long-term architecture. this is a founding technical role: your decisions will define our model stack, our data strategy, and our product capabilities for…",it-jobs,full_time,2025-12-07t21:14:31z,bjak,95
2,3,5532129711,house of hr,belgië,data & ai engineer,,,https://www.adzuna.be/details/5532129711?utm_medium=api&utm_source=64e51cf1,"about our team the data & ai team plays a central, scaling role , supporting the entire house of hr portfolio. we are expanding and looking for an extra engineer to strengthen our capabilities in two core areas:  building, deploying, and operationalizing ai products we partner directly with our powerhouses' ai champions and field staff to understand their needs and determine how ai systems can help them go harder, better, faster, and stronger . design: we architect end-to-end ai systems that de…",unknown,,2025-12-07t06:47:39z,house_of_hr,98
3,4,5531941061,bv enersee,"antwerpen, antwerpen (provincie)",data engineer ai,,,https://www.adzuna.be/details/5531941061?utm_medium=api&utm_source=64e51cf1,"enersee is growing fast. we’re scaling to the next phase and building the data backbone that powers our ai-driven energy efficiency platform. to make that happen, we need you! looking to use ai & data for impact? we’re looking for an data engineer ai who thrives at the intersection of algorithms, data pipelines, and real-world problem solving. you’ll make sure our platform runs on clean, consistent, and scalable data flows—while also developing innovative ai models that turn raw data into actio…",energy-oil-gas-jobs,,2025-12-07t01:26:45z,bv_enersee,101
4,6,5531806375,johnson and johnson,"beerse, turnhout","sr director, head of data science & digital health – therapeutics development & supply (tds)",51.31981,4.85645,https://www.adzuna.be/details/5531806375?utm_medium=api&utm_source=64e51cf1,"at johnson & johnson, we believe health is everything. our strength in healthcare innovation empowers us to build a world where complex diseases are prevented, treated, and cured, where treatments are smarter and less invasive, and solutions are personal. through our expertise in innovative medicine and medtech, we are uniquely positioned to innovate across the full spectrum of healthcare solutions today to deliver the breakthroughs of tomorrow, and profoundly impact health for humanity. learn …",pr-advertising-marketing-jobs,full_time,2025-12-06t23:48:43z,johnson_and_johnson,88
5,7,5530551511,advancing people recruitment,belgië,ai python engineer,,,https://www.adzuna.be/details/5530551511?utm_medium=api&utm_source=64e51cf1,"are you an experienced python engineer with exposure to ai looking for a new exciting permanent role? do you live within a commutable distance of brussels - working 2 days per week in the office? if so, our rapidly expanding software client is keen to hear from you! salary : 60,000 - 67,000 euros per year plus 6,000 - 8,000 euros per year bonus. the role: you will work in the product team that builds my clients flagship solution, which combines low-code development, process automation (rpa), in…",unknown,,2025-12-06t05:06:29z,advancing_people_recruitment,115
6,8,5530550318,brayton global,belgië,expert in ai/nlp/ml (ai/nlp/ml) lvl 9,,,https://www.adzuna.be/details/5530550318?utm_medium=api&utm_source=64e51cf1,"description of the tasks design, implement and maintain a scalable, reliable and secure hybrid cloud ml ops infrastructure to deploy, test, manage and monitor ml models in different environments; development and maintenance of software applications in the field of natural language processing (nlp), machine learning (ml), deep learning (dl) and/or artificial intelligence (ai); work closely with data scientists and back-end developers to build, test, integrate and deploy ml models; analyse perfor…",unknown,,2025-12-06t05:02:57z,brayton_global,91
7,9,5527348200,koda staff,belgië,nlp engineer / conversational ai engineer,,,https://www.adzuna.be/details/5527348200?utm_medium=api&utm_source=64e51cf1,"we’re partnering with a rapidly growing ai & digital consulting company based in brussels, and they’re looking for a talented nlp engineer / conversational ai engineer to join their expanding team. key responsibilities: develop and deploy production-ready nlp and conversational ai pipelines using python and modern ml/nlp frameworks. design and fine-tune llms, classification models, extraction systems, and multilingual nlp solutions. collaborate with clients to understand business needs and tran…",unknown,,2025-12-04t16:47:48z,koda_staff,90
8,10,5525626885,mindrift,belgië,freelance ai red team engineer,,,https://www.adzuna.be/details/5525626885?utm_medium=api&utm_source=64e51cf1,"this opportunity is only for candidates currently residing in the specified country. your location may affect eligibility and rates. please submit your resume in english and indicate your level of english proficiency. at mindrift , innovation meets opportunity. we believe in using the power of collective intelligence to ethically shape the future of ai. what we do the mindrift platform connects specialists with ai projects from major tech innovators. our mission is to unlock the potential of ge…",other-general-jobs,,2025-12-03t13:27:25z,mindrift,87
9,11,5525456331,oakwell hampton group,belgië,ai engineer,,,https://www.adzuna.be/details/5525456331?utm_medium=api&utm_source=64e51cf1,"ai engineer – shape the future of intelligent tech location: ghent/mechelen (hybrid) contract: full-time language requirement: dutch - professional level ready to build cutting-edge ai solutions that make a real impact? our client, a fast-growing consultancy partnered with microsoft and databricks , is looking for a passionate ai engineer to bring ground breaking ideas to life. you’ll be at the forefront of innovation, developing next-level ai applications for a wide variety of clients - no two…",unknown,,2025-12-03t09:27:10z,oakwell_hampton_group,99
10,13,5525144373,toyota motor europe,belgië,ai explainability engineer,,,https://www.adzuna.be/details/5525144373?utm_medium=api&utm_source=64e51cf1,"join tme for a 16 month fixed contract as an ai explainability engineer to design xai systems that boost driver safety, comfort, and trust in real-time automotive environments. toyota is one of the world’s largest automobile manufacturers and a leading global corporation. founded in 1937. toyota now sells vehicles in 170 countries and employs over 350.000 people. based in brussels, belgium, and staffed by 2.700 people and more than 60 nationalities, toyota motor europe (tme) handles the wholesa…",unknown,,2025-12-03t02:23:08z,toyota_motor_europe,114
11,15,5519964784,amotek technologies,belgië,ai engineer,,,https://www.adzuna.be/details/5519964784?utm_medium=api&utm_source=64e51cf1,"about us we shape the future by combining emerging technologies, venture building and growth strategy to help businesses stay future‑proof and ready for what’s ahead. whether we’re building next‑generation products or supporting startups, we integrate advanced technology into everyday business processes—helping our partners unlock new possibilities. summary we’re growing our ai team and looking for an ai engineer with ~2 years of experience who loves building things end‑to‑end. your focus will …",unknown,,2025-11-30t05:14:09z,amotek_technologies,92
12,16,5519817049,techbiz global gmbh,belgië,senior embeddedsoftware engineer,,,https://www.adzuna.be/details/5519817049?utm_medium=api&utm_source=64e51cf1,"at techbiz global, we are providing recruitment service to our top clients from our portfolio. we are currently seeking a senior embeddedsoftware engineer to join one of our clients' teams. if you're looking for an exciting opportunity to grow in a innovative environment, this could be the perfect fit for you. about the client our client is an innovative aerospace technology company that is transforming system integration through ai-driven interoperability. their core platform streamlines satel…",it-jobs,,2025-11-30t00:21:11z,techbiz_global_gmbh,88
